PC1,PC2,isotope
4.2509256940818805,0.45773654932292873,Co60
4.388189466909692,-0.37825670967567104,Co60
4.154333885320183,0.9371513636404221,Co60
4.348273451707109,-0.25050717819738605,Co60
4.099970261824249,0.4595537740187089,Co60
4.081025395238995,1.3835598776459759,Co60
4.314874350792553,1.173379978847077,Co60
4.424811758194464,0.03123538109744716,Co60
3.9076311867017037,1.4721035263215736,Co60
4.311512901687608,0.6916950621320684,Co60
3.935779907383296,1.5756140030000354,Co60
4.043229882481202,1.0054462274471487,Co60
4.144780794775796,0.7114661467584572,Co60
4.1342758464591265,1.3522168874771239,Co60
4.392583834799573,0.19961394802925417,Co60
4.143370878983553,1.59783767090687,Co60
3.939505405826974,2.4124143596664656,Co60
4.124704846245553,0.20954789675617172,Co60
4.241055170643512,0.8788549777854008,Co60
4.389847716499415,1.02406935001496,Co60
4.078147565968601,0.5594387495684486,Co60
4.287576607961578,0.41419028912061384,Co60
3.829330063253625,1.5946243009354368,Co60
4.378317671326411,0.28818400991000803,Co60
4.616187222385385,-0.7763442514847438,Co60
4.197448189911356,0.500905725062367,Co60
4.172976041777365,0.8398152337064452,Co60
4.319920148709555,0.8884048415922484,Co60
4.090734755386186,1.2511117043230195,Co60
4.561701736829022,-0.029487675394278517,Co60
4.116969674906506,0.6329556265093867,Co60
4.214058592186815,0.6575911932045341,Co60
4.261885063826204,0.30846258409320315,Co60
4.407224381745208,-0.06505840467335246,Co60
4.249309242422485,0.7471810701856392,Co60
4.182931554451587,1.6933395737945593,Co60
4.62099770837185,-0.1843517886501191,Co60
4.080023138459103,1.307908625160536,Co60
4.744547739341002,0.07968081317374147,Co60
4.381057191301456,-0.10352704732138526,Co60
3.8547221967308976,1.6221750169041538,Co60
4.310433134513351,0.41684870024384424,Co60
4.1212667054762635,0.553899721679408,Co60
4.351880842657411,0.7238888894279438,Co60
4.505063760512997,0.03826849954977416,Co60
4.602971577117056,-0.0056062488142264305,Co60
4.499508844168575,0.6216814328038861,Co60
4.3022366687794955,0.11159929600391344,Co60
3.9618959961955227,1.5352777343808088,Co60
4.174640773074128,0.3025301402222601,Co60
3.452037615454529,1.9784693801397892,Co60
3.8809619194045895,1.4102994528305228,Co60
3.6356413148675117,1.725278276830162,Co60
3.5923799740674203,2.7343757722604187,Co60
4.306582085341431,0.2639833275731954,Co60
4.575269276474649,0.41964302405851456,Co60
5.039938547775288,-0.9418371248992767,Co60
3.953170020986805,1.6297352291574998,Co60
4.036278840733666,0.49553113735869525,Co60
3.597220587065668,2.1599970276286222,Co60
4.161242514524128,0.9123713937127887,Co60
4.002272648995783,1.2184809121142328,Co60
3.6373411883854287,2.5253400858634625,Co60
4.34010466279335,0.10921263575691097,Co60
3.3584111313354814,3.593067493997814,Co60
4.427431990100748,-0.561816413794478,Co60
4.389057955821857,-0.40804798551051924,Co60
3.7452327491970463,1.1409005670187329,Co60
3.9335343421334885,1.9496944160605585,Co60
4.437062085018439,0.17815442604231846,Co60
4.387026463384084,0.05390032723854814,Co60
4.358642190923494,0.7919817434176329,Co60
3.9994225418476783,1.994378693024506,Co60
4.1433855211432125,0.4806908076230146,Co60
4.1470111795392,1.4154913061593473,Co60
4.055169026761727,0.9623947779731484,Co60
4.638451949302614,-0.22220399296979484,Co60
3.962431147445368,1.3040532493720731,Co60
4.353754803614663,-0.35616834897516847,Co60
4.174565623220651,1.681455649350116,Co60
4.067951166676492,1.805586187298125,Co60
4.470070553484517,0.42773412126009724,Co60
4.0791175275903475,1.713757385180632,Co60
4.265952843336564,0.5346959115158478,Co60
4.4904966196697105,-0.34982498108038024,Co60
4.433565229889871,-0.13137868022491042,Co60
4.720369720910826,-0.4659375412008491,Co60
4.2871345140618375,0.8956650868472019,Co60
3.7996623279550112,2.1198068365956746,Co60
3.86288124080377,2.0565366111582573,Co60
4.1703865431184814,0.6686372539266686,Co60
4.2431498074989475,1.1436625441480222,Co60
4.530751093022043,0.10963385096489274,Co60
4.10548675696972,1.6814570279700694,Co60
3.8892194924950725,0.8655123411176286,Co60
4.596065729149664,0.49249167105739394,Co60
4.556333216786431,-1.232691279039157,Co60
4.122008933682403,0.46971919499755943,Co60
4.318023199111422,0.527270755684552,Co60
4.301123496299282,0.18061970456583257,Co60
4.390563474264787,0.4885834539263579,Co60
4.127589819084821,1.3283726128892073,Co60
4.454476323847496,0.015354593594334021,Co60
4.2518751071579075,1.2155193305852174,Co60
4.0264840018706565,0.8011308840470103,Co60
3.7369339983100716,1.2281797875036085,Co60
4.463091557614225,0.2934773198856638,Co60
4.551942291112762,-0.6587763516391854,Co60
3.7930259322547837,2.2799235806864107,Co60
3.9746523619906013,1.2223277387033145,Co60
4.289189331647721,0.7812446278718076,Co60
4.601343973983617,-0.23842966129249102,Co60
3.827797667641444,0.8269312509696545,Co60
